ip_hash,group,map_pref,map_pref_explain,first_map,bivariate_highVax_highCase_duration,bivariate_highVax_highCase_state,bivariate_highVax_highCase_difficulty,bivariate_highVax_highCase_difficulty_explain,univariate_highVax_highCase_duration,univariate_highVax_highCase_state,univariate_highVax_highCase_difficulty,univariate_highVax_highCase_difficulty_explain,bivariate_highVax_lowCase_duration,bivariate_highVax_lowCase_state,bivariate_highVax_lowCase_difficulty,bivariate_highVax_lowCase_difficulty_explain,univariate_highVax_highCase_GRADE,bivariate_lowVax_highCase_duration,bivariate_lowVax_highCase_state,bivariate_lowVax_highCase_difficulty,bivariate_lowVax_highCase_difficulty_explain,univariate_highVax_lowCase_duration,univariate_highVax_lowCase_state,univariate_highVax_lowCase_difficulty,univariate_highVax_lowCase_difficulty_explain,bivariate_lowVax_lowCase_duration,bivariate_lowVax_lowCase_state,bivariate_lowVax_lowCase_difficulty,bivariate_lowVax_lowCase_difficulty_explain,univariate_highVax_lowCase_GRADE,univariate_lowVax_highCase_duration,univariate_lowVax_highCase_state,univariate_lowVax_highCase_difficulty,univariate_lowVax_highCase_difficulty_explain,univariate_lowVax_highCase_GRADE,univariate_lowVax_lowCase_duration,univariate_lowVax_lowCase_state,univariate_lowVax_lowCase_difficulty,univariate_lowVax_lowCase_difficulty_explain,univariate_lowVax_lowCase_GRADE,bivariate_highVax_highCase_GRADE,bivariate_highVax_lowCase_GRADE,bivariate_lowVax_highCase_GRADE,bivariate_lowVax_lowCase_GRADE
931b403022da3283a63f131f641d532f4c05f42efbf2978a71f7fd9cd7ea3392,d,bivariate,no back & forth,univariate,9.569,Wyoming,3.0,inset difficult to decifer,34.508,Florida,4.0,it just was,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9efb7269dd819afae52432d121f3886762c6bad310ef83f28d7531a1661b754e,d,univariate,it is easy to see,univariate,3.167,Wyoming,1.0,it is easy,5.229,Kentucky,1.0,it is easy,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
a161bf413da246925e0978cc848396715f32f17890c3169c192511f5e1802e23,d,bivariate,easier,univariate,2.37,Tennessee,4.0,easy,2.522,Tennessee,3.0,it was a little harder,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ad8eb9ab2aa969a1e3c169b02b9f51f27c4685b6e5fe73c3c2e2f95eb37348ac,d,univariate,More clear,univariate,21.753,Kentucky,3.0,Too many colors and some states bigger then others,38.161,New York,1.0,The instructions were clear,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
b007081a46ada9e7cfe44ab0ca0ea5ebcf471a40cfa0c6cd52afece6adef3956,d,bivariate,easier to figure out,univariate,2.534,Wyoming,3.0,just red the map,19.111,Colorado,3.0,no certain answer,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb033f6fc9e571e4bf71c8371961b1182b4d15adcef368b3daeaf1f50b03bbd6,d,univariate,just easier,univariate,3.546,Wyoming,1.0,easy,3.266,Wyoming,1.0,easy,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
bb5102ea023f532d4385df72fac32727ba54e03f5c2404b9faa4bd6fa72abd54,d,univariate,was easier,univariate,29.664,Florida,3.0,hard to find,7.84,New York,2.0,was easy to find,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cba99b8f43105f53f225a6b21d00ee10775217368634c028fa02dcfa191b9d3d,d,univariate,it was easy to see the colors,univariate,7.857,Wyoming,1.0,pretty easy to tell,4.704,Maine,1.0,it was pretty easy to see,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cce910b241614e886fb9a300104aa22b1b9cddd7c33afc7d50f5b40cc6e72ad3,d,univariate,it is much more easier to comprehend,univariate,2.566,Tennessee,3.0,it was a bit tricky,10.879,Tennessee,3.0,It was a little bit tricky to answer,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
dadc2a478046970d916ce5aa4a852bd14128fb57ff404c34e60bf1803d7fe0e4,d,univariate,you can see them indivisually better,univariate,1.776,Wyoming,4.0,map was confusing,17.384,Florida,3.0,there was few answers,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
e46c07d43d9a4bb844470205419955764b5ce8b3231660df0e0c4b492ca6a2c2,d,bivariate,like to look at one thing instead of two,univariate,2.556,Wyoming,1.0,it was highlighted,3.271,Wyoming,1.0,it was highlighted,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
f0f1901c84c878f16d4ea3b9ea08c88c774bcdb3a3bc3d02590aac17d1c6af1f,d,univariate,better to see them separate,univariate,12.62,Wyoming,4.0,hard to see the difference,26.86,Florida,3.0,hard to find 2 spots,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
f17552e24235cf28e735619426981092d35446d923741c1b4eda1cd1d72e656a,d,bivariate,it shows it all together,univariate,13.435,Tennessee,2.0,map shows it,14.296,Arizona,2.0,seems obvious,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
f9319b085124f68435b45b3114e78c3e237e13677ee5e48011b0293f590d639e,d,univariate,It was easier to read/decipher.,univariate,7.142,Tennessee,5.0,The difference in the blocking and coloring.,7.369,Maine,5.0,The shading/coloring was confusing.,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fc5c7d373bc239ad873e222219379e0f2b5f99e3da6f6f33128ef6388097e988,d,bivariate,Easier to see the overlap,univariate,18.473,Kentucky,2.0,It was fairly easy,63.634,Oregon,2.0,It was fairly easy,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0941a3246fa0593381eaa59671e9bfc11eba6b932d2f024f040bc32c09b6783e,f,bivariate,I like it mixed in like the one above,bivariate,,,,,16.56,Arizona,2.0,That wasn't hard either,13.849,Nebraska,1.0,This was not that hard either,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0de1a8402b1f9834039f78d028b636d8742ac4603d48e140266f6ed87d10cccf,f,bivariate,It makes things easier when reading maps.,bivariate,,,,,9.62,Kentucky,5.0,Because the maps were separated.,10.946,Virginia,5.0,Because the colors were mixed together.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
271756ced225f9afdab7473d871a93a5081a22b17bd76db9d9a10c3f4ef8c923,f,bivariate,it had both stats,bivariate,,,,,16.633,Arizona,4.0,you could only select on one map,16.104,Nebraska,3.0,I had to look at grid more closely,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
40922264d9a7f3d749121bec896e9d4e8dd20cbbfa175dc39669e7afbb3976df,f,bivariate,I like when maps are consolidated with all the data in one place,bivariate,,,,,4.354,Wyoming,1.0,It was easy. It was nearly a tie in my mind,4.362,Wyoming,1.0,It was easy,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41627f501f9f6ee8c561fa6e2927d59e1ab972eb65b7a45233fce6078bfb65bc,f,bivariate,Easy to see,bivariate,,,,,1.711,Tennessee,2.0,Easy,3.184,Nebraska,2.0,Easy,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
49deb78c734236ff79b7058d29d3499bc543d6129d2f8b43d2cd567f5ef5a4f1,f,bivariate,It was easier,bivariate,,,,,16.489,Florida,3.0,"It was kind of annoying to have to compare the two maps 
",9.158,Oregon,3.0,Took me a minute to figure out the color scale but not too bad overall,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5dd4dc4c4c5b24a31768147c6d27a068c50c8fc0922749c22d27972f531047c9,f,bivariate,Harder to compare data the way the questions ask the other way,bivariate,,,,,53.2,New Mexico,2.0,two maps makes it harder,32.392,New Mexico,2.0,Took me a second to read the legend,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
5f996eb5b87d81e7adafd7cdd90258c9e9377493e18705d21283be2388ce6be3,f,bivariate,Easier to figure things out with one map rather than 2,bivariate,,,,,12.267,Wyoming,3.0,Have to look at map closely,21.572,Utah,3.0,Had to focus on multiple things,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
76ae29363b842791fa61b5815c912c5be118a7ae5de3412bc82d0554a9781a04,f,univariate,easier to read,bivariate,,,,,7.903,Maine,1.0,same as before,72.616,Nebraska,1.0,very few choices in the color I needed,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
76b2b9a54f8edb8e148fbf061e76b428b8189c3ea6ed43ab8a2c99de44a6c11b,f,bivariate,easier to read,bivariate,,,,,6.486,New Mexico,2.0,not hard,2.727,Nebraska,1.0,its not hard,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77764c3dae6e484245c3aacc48baf5bc695313d3f81c4907e6014e05298a7744,f,bivariate,Because it provides the most amount of information on less,bivariate,,,,,11.269,Tennessee,4.0,I had to take into account two qualifications,11.667,Arizona,3.0,It was a bit difficult as there were different qualifications,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
793a9ec8a191826a403fbb9f0e6ce53544f04f9ea243964bc419d82bd872ff50,f,bivariate,It was interesting to see how it was hard to select when changing maps. Some maps looked almost like the same amount with the colors were changed to green and red.,bivariate,,,,,9.25,Georgia,4.0,I was harder to pick. Some states looked almost the same.,8.327,Nebraska,1.0,It was the one with the largest colored grey,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8b5aacfd6404ef5a7adfb21fe7be623b7bbf00f5096a00ed4bd71e3a8ecd13e0,f,bivariate,It is easier with one map,bivariate,,,,,8.127,Maine,4.0,It was.,17.71,Maine,5.0,Lots of those colors on the map.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8ec9c2bf2ef895eee1ec840ea04d5ab557d8dd94d36f967262a3d26747454f54,f,bivariate,condensed,bivariate,,,,,25.545,Wyoming,4.0,colors,15.288,Wyoming,3.0,I am colored blind it is difficult for me,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
8f4fcce6b5e8a88d0125f24fee060f5777e6625c34864df90a71eae565ecd5e4,f,bivariate,I only need one map to find what I am looking for.,bivariate,,,,,15.827,California,1.0,It was easy for me to find the colored areas on the map.,21.615,Nebraska,1.0,I can see all of the colored areas on this map.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
96ba82dd4d1b581a64d2b6bd094834450a5964c8417ea201e204dae24cf4c475,f,bivariate,it's much more clear obv,bivariate,,,,,61.329,South Carolina,3.0,the data were on 2 separate maps & images v small,16.625,Connecticut,1.0,bc it's straightforward,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9aae2ba7a3f50e3f92f078f03e70b6f41698ce47a9b032413c141c6f5eaeaa85,f,univariate,because it explains it more,bivariate,,,,,9.114,Arizona,1.0,it was easy to do,8.233,Utah,1.0,just had to look,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
a85b909328d37149ecf6011c958f56244abf9bd3eb5615d0d6ef045c1c9b82aa,f,univariate,like green and purple,bivariate,,,,,4.067,Tennessee,1.0,it was very easy,2.625,Nebraska,1.0,it was very easy,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d59d7f242a77693e43152528f0c438ec78f14dc707a14cd8be30eb654c04cf28,f,univariate,Its easier to compare the data for the questions.,bivariate,,,,,20.127,Florida,3.0,Florida had the highest of both that i could see.,29.757,Utah,2.0,Colorado seemed to have the balance the question was looking for.,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d66cd5c0f9aeef678f3062363d55455d9196f41023e656c954ac54b6580bd7d5,f,bivariate,one,bivariate,,,,,4.118,Wyoming,3.0,3,10.362,Arizona,3.0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
d772f9fdae96dca690f66c6d3e0b05482a3031940eb3374c65d3501324af7d30,f,bivariate,The one map displays the info more concisely. Two maps makes you have to go back and forth to see the info and combine the maps in your head.,bivariate,,,,,9.286,Florida,1.0,simple task.,8.249,New York,1.0,Simple task.,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
e18759285799172797d50ebb59f229f87fb348df36c12862163839a273601a02,f,bivariate,Easier to compare,bivariate,,,,,18.147,New York,4.0,Didn’t know I could only pick one map,39.523,Massachusetts,4.0,Hard to understand the key,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
e477233383aae53c11bdb8171e402fda8f5c55e9d9c3654fd41695aa600ceb9f,f,bivariate,it might be a little easier not sure though,bivariate,,,,,22.053,Pennsylvania,3.0,b/c not sure of how to answer them,24.544,Pennsylvania,4.0,25%,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
e8a960f0ac65a79696069b1e13e8d6537187378a13452fe53a385e141d87303d,f,bivariate,There wasn’t too much in one place,bivariate,,,,,6.772,Arizona,2.0,It was straightforward,15.688,Arizona,3.0,I that straightforward,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
eb92895734422370bddc7fb6b1c916268fa04833fa2ccd7d54728ddc8e620c6a,f,univariate,easy to tell the difference in colors,bivariate,,,,,26.935,Florida,4.0,challenging,44.031,Utah,4.0,challenging mixing 2 criteria,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ed6a8e822345cb63789817cc26b2e3aefbdbc7d3836df9320f69c6bc226ff9da,f,bivariate,Need less work to get the information,bivariate,,,,,34.367,Florida,2.0,Clear,14.93,New Mexico,2.0,Very clear indecators,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2f7642075414030bc423a11e4f7bb7105ee5406e223a2b6b2e255bb81aeb76b,f,univariate,it was easier,bivariate,,,,,4.905,New Mexico,1.0,shows you the color,9.688,Nebraska,2.0,just need to read,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
f2fac603ecf338f9595c6aa0265e0b76d619bb7a0da35040703ba5b3bf175d9c,f,bivariate,I like to see both the features in one map,bivariate,,,,,5.837,Maine,3.0,It was somewhat easy,22.082,Maine,3.0,It was somewhat easy,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3b21eaf5fd5647982ab0dc82e6f49fbc5b17be2d2e6dc86d092cc48e69cee64,f,bivariate,One map is my preference due to it being much easier to read one map instead of two.,bivariate,,,,,14.14,Florida,3.0,The question was moderately difficult to answer due to the maps being confusing.,8.155,Florida,3.0,The question was mildly difficult to answer but not completely impossible.,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
f3ff14afd445fed3bddf163472e37a11a1a4e1da8d371da16927b6d931d0f135,f,bivariate,One map is easier visually to pinpoint variables or constants rather than trying to overlap two maps in the mind.,bivariate,,,,,18.973,Kentucky,4.0,"You had to make sure both variables were satisfied by overlappin the specifications from each map. Plus, low youth sports particiaption rate seems inversely proportional to watchin basketball in many states.",11.252,Nebraska,4.0,You had to carefully look at the legend provided and made sure that you were looking at the correct specifications.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
f72adb849b1359ab8ec367d93b133b73c1e19245f96861a59dfac2b7b71a4546,f,univariate,It would be easier to distinguish the areas of the maps.,bivariate,,,,,3.419,Oregon,1.0,The graph made it easy to know where to select.,7.028,Utah,1.0,It was easy to see the areas.,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
f8502996bbd8b56ac5f1a6a3e359dcac46c0925067034df525629782a581be20,f,bivariate,This map would have the combined answers to the questions asked.,bivariate,,,,,39.298,Arizona,3.0,The choice was a little conflicting with the given areas.,54.552,Nebraska,1.0,It was clear that a State had a combination of both,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
fa4ef0f0396a21dfdb7c8ef32601a0101726f5faf784d82d0ecdb72f34629434,f,bivariate,IT was less to have to look at,bivariate,,,,,4.814,Wyoming,4.0,it was easy to locate,12.892,Arizona,4.0,It was easy to find,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
06fdacbaa7bb11b35b3c8dcee7d68bb2d1e5ebdd1b3493602883df1b5fbed619,h,univariate,2 options are better than 1,bivariate,5.131,Wyoming,1.0,1,8.009,Tennessee,1.0,1,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0b9b968c68760aba135cea1d45931e3c3d7c483112dfefe067768fc1d7661579,h,univariate,Easier to read and locate states and cities.,bivariate,50.167,Utah,5.0,The information detailed for the question was difficult to read and figure out the correct answer.,47.093,Wyoming,2.0,very easy to understand and the maps were readable.,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
0cb1f5a8eb1626d2092ca0f4d39c56ae6ebce168d3add9c86fdce53f12ceac7d,h,bivariate,One map makes it easier to read.,bivariate,11.705,Nevada,4.0,It was kind of confusing,34.09,Wyoming,4.0,Confusing..,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
129a0d3c096261f8b89280f78451936b86b9aa0f8dfec9bab280fdd5e7bbac68,h,univariate,Easier to se color contrast,bivariate,26.052,Kansas,5.0,There was to much information to be able to easily locate. The color were to similar on map,16.571,Maine,1.0,Color contrast was easier to see,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17dd42c4428fc69f0b7f0cda3243440927a0146e62fee8162316e042356b6898,h,bivariate,It was easier to compare the to comparisons.,bivariate,2.44,Kentucky,4.0,"You had to read and understand the map legend and there was many similar states on the map. 
",35.752,Oregon,5.0,"It was hard to compare both maps 
",,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2900d48b94f4a37c3fed1ca4f15b5e8296e7f39b8eb78987c46891dfd2b1bf1a,h,bivariate,it's easier to read from one map,bivariate,8.601,New York,3.0,The legend was confusing to read and was kind of hard to understand,14.397,Oklahoma,3.0,It was hard trying to find a state that had both of the charactersitics,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3019011a3ee70977a90af474e0507dac8117fd539d8a7f86b936b5598dd15a06,h,bivariate,easier,bivariate,11.541,New York,1.0,easy,11.243,Maine,1.0,easy,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
41a95605f49cf26d4f5aefb8f76816d864dc3514c0bc6b7ebff082ef2c0302cc,h,bivariate,I don't have to constantly go between two screens,bivariate,11.799,Wyoming,5.0,I don't think in pictures.,26.944,Kentucky,5.0,I am not a graphical person,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4ac4c65f46f60b4f39525bafd36bc88c8cb949919e436e4ce99750f179bf0c08,h,univariate,not a lot going on,bivariate,11.654,Washington,2.0,to many similar colors,6.291,Tennessee,2.0,because its look to have alostthe whole state in that color,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
4b73995195a9550db5638420b62f32b518eeec2e564b687b16783ca1cd2cde0f,h,bivariate,Same answer I gave on the previous page.,bivariate,7.296,Florida,2.0,"It was a tossup between Florida and Washington state, so I made my best guess,",8.678,Florida,3.0,"This one was harder, because I had to make choices on two maps instead of only one.",,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
55019b60163643e76dc9f1f7be1d0ac785ffd2f42042a27c0f2f89ca088cc42a,h,univariate,its way easier to see the colors more in depth with 2 maps instead of one,bivariate,19.57,New York,3.0,the colors go together too much,2.578,Maine,4.0,i feel like i am really bad at this,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
649c42ed14f77d572cdacbf59a11f26ae7a711e40912e934d8c927cd12e62836,h,bivariate,it was much easier to compare variables on one map,bivariate,6.232,Washington,3.0,more difficult with two variables,21.473,Wyoming,5.0,"it was near impossible, as the two variables were not on the same map.",,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6a87cc763c0b4eb38d74910c9d77920d20e7acc29814a29a7578834e164e225b,h,univariate,easier to read and decide,bivariate,3.174,Wyoming,4.0,hard to read the color shading and the map is too small,2.307,Kentucky,3.0,easier to read one color density,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
6eaee34f7b865536a2aa9388d08636d2b5ebdf200a6d2de366a379b690f90465,h,bivariate,easy to read,bivariate,28.955,Florida,1.0,easy,20.582,Tennessee,1.0,easy,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
723db50d036a9c5f6917f9c9f3d4b7de7bfa1547a977f12c2694eebb4c882df5,h,bivariate,seems to make data comparing a little easier,bivariate,11.644,Ohio,4.0,just have to visually weigh the info,22.536,Kentucky,4.0,was hard to compare the data,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
7526219999f5017beea15e2d0f3c96767048b6dfce74db13f02222ea7ff02d6b,h,univariate,solid colors are better,bivariate,15.224,Florida,3.0,the colors were too close to each other,2.973,New York,1.0,easy,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
