ip_hash,user_agent,group,platform,age,gender,education,map_comfort,colorblind,robot_duration,robot_state,map1_q1_duration,map1_q1_state,map1_q1_date,map1_q2_duration,map1_q2_state,map1_q2_date,map1_difficulty,map1_difficulty_explain,map2_q1_duration,map2_q1_state,map2_q1_date,map2_q2_duration,map2_q2_state,map2_q2_date,map2_difficulty,map2_difficulty_explain,map_pref,map_pref_explain,prime_panel_participant
0b9b968c68760aba135cea1d45931e3c3d7c483112dfefe067768fc1d7661579,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",h,desktop,48,male,college,5,no,3602,West Virginia,11318,Utah,Tue Aug 30 2022 14:28:14 GMT-0400 (Eastern Daylight Time),50167,Utah,Tue Aug 30 2022 14:29:21 GMT-0400 (Eastern Daylight Time),5,The information detailed for the question was difficult to read and figure out the correct answer.,18689,Arizona,Tue Aug 30 2022 14:31:33 GMT-0400 (Eastern Daylight Time),47093,Wyoming,Tue Aug 30 2022 14:32:24 GMT-0400 (Eastern Daylight Time),2,very easy to understand and the maps were readable.,univariate,Easier to read and locate states and cities.,630e55a0-789f-df1f-0c80-af98507fce12
0c29a963835a1dcc5f8e9897173926856a751e242e52c8070fb6519189d938e4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",a,desktop,45,male,graduate,5,no,2232,West Virginia,249664,Nebraska,Tue Aug 30 2022 13:43:54 GMT-0400 (Eastern Daylight Time),270425,Nebraska,Tue Aug 30 2022 13:48:29 GMT-0400 (Eastern Daylight Time),1,It was very easy to spot.,6785,Wyoming,Tue Aug 30 2022 13:50:47 GMT-0400 (Eastern Daylight Time),28057,Nebraska,Tue Aug 30 2022 13:51:16 GMT-0400 (Eastern Daylight Time),1,Easy to spot.,univariate,Less confusing.,630e4913-63fc-39a4-9ab0-ce5f6089aa45
0cb1f5a8eb1626d2092ca0f4d39c56ae6ebce168d3add9c86fdce53f12ceac7d,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",h,desktop,32,female,college,4,no,9503,West Virginia,17468,California,Tue Aug 30 2022 12:46:36 GMT-0700 (PDT),11705,Nevada,Tue Aug 30 2022 12:46:50 GMT-0700 (PDT),4,It was kind of confusing,46000,Wyoming,Tue Aug 30 2022 12:47:51 GMT-0700 (PDT),34090,Wyoming,Tue Aug 30 2022 12:48:27 GMT-0700 (PDT),4,Confusing..,bivariate,One map makes it easier to read.,630e6899-88be-814e-be88-09952a38a205
0cef874055a2fe39d40a5342ea99ca6c2b9591fe85217b7f649fafda39b06f44,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",e,desktop,55,female,college,3,no,2016,West Virginia,6945,Nebraska,Mon Aug 29 2022 17:02:07 GMT-0400 (Eastern Daylight Time),8334,Nebraska,Mon Aug 29 2022 17:02:24 GMT-0400 (Eastern Daylight Time),3,i think i was right,10479,Wyoming,Mon Aug 29 2022 17:02:52 GMT-0400 (Eastern Daylight Time),22000,Maine,Mon Aug 29 2022 17:03:20 GMT-0400 (Eastern Daylight Time),3,i am not sure if i was right,bivariate,is easier to determine,630d28ac-d912-970e-7a08-a9fe864a4eee
0db1defbb73e84b5955396f9806cff17b4ada3eb3516b664ce8deecfc8e54d89,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",c,desktop,70,female,college,4,no,9341,West Virginia,11529,Wyoming,Mon Aug 29 2022 16:56:58 GMT-0400 (Eastern Daylight Time),3822,Maine,Mon Aug 29 2022 16:57:12 GMT-0400 (Eastern Daylight Time),3,Didn't have time to answer the second part of the question,8468,Utah,Mon Aug 29 2022 16:58:00 GMT-0400 (Eastern Daylight Time),4085,Oregon,Mon Aug 29 2022 16:58:10 GMT-0400 (Eastern Daylight Time),3,Instructions not clear enough. Is the answer to both on the same chart?,univariate,It's harder for me to incorporate the two into one.,630d2750-019f-0522-335f-b7fc04b3de62
0de1a8402b1f9834039f78d028b636d8742ac4603d48e140266f6ed87d10cccf,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36 Edg/104.0.1293.70",f,desktop,33,male,high_school,1,no,1991,West Virginia,6830,Nebraska,Tue Aug 30 2022 13:12:07 GMT-0400 (Eastern Daylight Time),10946,Virginia,Tue Aug 30 2022 13:12:21 GMT-0400 (Eastern Daylight Time),5,Because the colors were mixed together.,4838,Wyoming,Tue Aug 30 2022 13:12:48 GMT-0400 (Eastern Daylight Time),9620,Kentucky,Tue Aug 30 2022 13:13:01 GMT-0400 (Eastern Daylight Time),5,Because the maps were separated.,bivariate,It makes things easier when reading maps.,630e444a-c473-f5bb-bb74-7c2e6e7b1306
0e3178c2c17551f0a81141b3aa81abf27d845ef7b2ee01f86a332aec189c37c8,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",a,desktop,22,other,college,2,no,3161,West Virginia,4896,Georgia,Tue Aug 30 2022 13:47:30 GMT-0400 (Eastern Daylight Time),2096,Nebraska,Tue Aug 30 2022 13:47:36 GMT-0400 (Eastern Daylight Time),1,it be like that,5528,Washington,Tue Aug 30 2022 13:48:00 GMT-0400 (Eastern Daylight Time),3271,Nebraska,Tue Aug 30 2022 13:48:04 GMT-0400 (Eastern Daylight Time),1,nice,univariate,easier,630e4ced-a2fc-d59b-5f2b-51e757f10757
11a94041c1103b08949aa08911cf14bd2d989e15490cbb1dc7d53d54455d8449,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",a,desktop,49,male,college,4,no,3927,West Virginia,8143,Nebraska,Tue Aug 30 2022 11:55:50 GMT-0500 (Central Daylight Time),5667,Nebraska,Tue Aug 30 2022 11:56:08 GMT-0500 (Central Daylight Time),2,It was pretty easy to see,11680,Wyoming,Tue Aug 30 2022 11:56:36 GMT-0500 (Central Daylight Time),6964,Florida,Tue Aug 30 2022 11:56:49 GMT-0500 (Central Daylight Time),3,It was a little harder to see,univariate,It helped me to see the information better,630e406c-7096-bee3-f774-ab7b5dbc8476
129a0d3c096261f8b89280f78451936b86b9aa0f8dfec9bab280fdd5e7bbac68,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_6) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.5 Safari/605.1.15",h,desktop,40,female,some_college,5,no,4565,West Virginia,36211,Tennessee,Tue Aug 30 2022 13:23:44 GMT-0400 (EDT),26052,Kansas,Tue Aug 30 2022 13:24:25 GMT-0400 (EDT),5,There was to much information to be able to easily locate. The color were to similar on map,980,Mississippi,Tue Aug 30 2022 13:25:48 GMT-0400 (EDT),16571,Maine,Tue Aug 30 2022 13:26:12 GMT-0400 (EDT),1,Color contrast was easier to see,univariate,Easier to se color contrast,630e46b1-4d90-f4da-31c6-d6eaa7cccd75
13e2a3f8fb3a12de264990ae2a21a7706f2e60e2309358574e758389b403a515,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36 Edg/104.0.1293.70",c,desktop,78,female,college,2,no,6826,West Virginia,31922,Tennessee,Mon Aug 29 2022 15:56:58 GMT-0500 (Central Daylight Time),14133,Arizona,Mon Aug 29 2022 15:57:17 GMT-0500 (Central Daylight Time),3,Somewhat easy,28617,Colorado,Mon Aug 29 2022 15:58:20 GMT-0500 (Central Daylight Time),17866,Utah,Mon Aug 29 2022 15:58:40 GMT-0500 (Central Daylight Time),4,not too clear,bivariate,One is easier,630d2738-89bf-0e57-b65a-954de986539a
13fc6088276ff9d77288290d2463f8973307083473167eac2aa0fcb7d541b4b0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",e,desktop,74,female,some_college,4,no,2947,West Virginia,6382,Nebraska,Tue Aug 30 2022 13:24:28 GMT-0400 (Eastern Daylight Time),9582,Nebraska,Tue Aug 30 2022 13:24:43 GMT-0400 (Eastern Daylight Time),1,It seemed pretty cut and dried as to what they wanted,12371,Arizona,Tue Aug 30 2022 13:25:25 GMT-0400 (Eastern Daylight Time),18039,Vermont,Tue Aug 30 2022 13:25:47 GMT-0400 (Eastern Daylight Time),2,It seemed correct,bivariate,I could totally understand it better,630e4687-932b-f7c4-3973-59917b7b5cab
148909ad2fb71629e21f7a6470e9e267ddb8b055357162802b6540d6b72cc8c4,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",d,desktop,39,male,some_college,3,no,11197,West Virginia,48555,Tennessee,Tue Aug 30 2022 14:16:30 GMT-0400 (Eastern Daylight Time),33298,Florida,Tue Aug 30 2022 14:17:06 GMT-0400 (Eastern Daylight Time),3,"The two separate graphics, matching and sizing the selections made it slightly difficult (along with the tone that was used). Different colors representing density would have made it easier.",52146,Tennessee,Tue Aug 30 2022 14:18:51 GMT-0400 (Eastern Daylight Time),2057,Florida,Tue Aug 30 2022 14:18:58 GMT-0400 (Eastern Daylight Time),5,It's hard to tell from the colors and the way they were integrated if I got everything right.,univariate,"With everything combined, it made the map busier (and at the size I viewed it).",630e5331-ad29-d888-dd4e-f2f7540c3fd9
15ae248f2597ca40a8889e04788b76876ffa720056802f8a181a43decb66fd00,Mozilla/5.0 (Macintosh; Intel Mac OS X 10.13; rv:103.0) Gecko/20100101 Firefox/103.0,a,desktop,52,male,graduate,5,no,2687,West Virginia,6736,Nebraska,Tue Aug 30 2022 12:19:52 GMT-0500 (Central Daylight Time),6839,Nebraska,Tue Aug 30 2022 12:20:06 GMT-0500 (Central Daylight Time),3,A bit more difficult but not too bad,36639,Tennessee,Tue Aug 30 2022 12:21:01 GMT-0500 (Central Daylight Time),37487,Tennessee,Tue Aug 30 2022 12:21:42 GMT-0500 (Central Daylight Time),4,A bit complicated figuring out the shading scheme,univariate,A bit more intuitive,630e4649-0cc4-3563-de00-4fbf015360b0
16452d6426be6bbd4db55612f0c4ce1600decb8b4a04e50215695942e78c8d3f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",g,desktop,37,female,college,5,no,2831,West Virginia,10288,New York,Tue Aug 30 2022 09:56:29 GMT-0700 (Pacific Daylight Time),4114,Nebraska,Tue Aug 30 2022 09:56:35 GMT-0700 (Pacific Daylight Time),1,Easy to locate.,4562,Florida,Tue Aug 30 2022 09:57:03 GMT-0700 (Pacific Daylight Time),5521,Nebraska,Tue Aug 30 2022 09:57:10 GMT-0700 (Pacific Daylight Time),1,Easy to locate.,bivariate,It is better to find what you are looking for.,630e40b8-e9ff-9b59-67d0-498e7a73a454
16d4bb6dd664a94c2879a97dead62c72b84408149d402274e2e9756ee223303c,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_13_6) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",g,desktop,24,female,graduate,1,no,5130,West Virginia,7227,Kentucky,Tue Aug 30 2022 13:14:34 GMT-0400 (Eastern Daylight Time),22640,West Virginia,Tue Aug 30 2022 13:14:58 GMT-0400 (Eastern Daylight Time),2,n,7105,Tennessee,Tue Aug 30 2022 13:15:11 GMT-0400 (Eastern Daylight Time),16370,Maine,Tue Aug 30 2022 13:15:29 GMT-0400 (Eastern Daylight Time),4,m,bivariate,mmm,630e44e2-4d58-990a-d73b-b4c49edcddbf
17dd42c4428fc69f0b7f0cda3243440927a0146e62fee8162316e042356b6898,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36",h,desktop,23,male,some_college,3,no,7184,West Virginia,31282,Tennessee,Tue Aug 30 2022 14:50:11 GMT-0400 (Eastern Daylight Time),2440,Kentucky,Tue Aug 30 2022 14:50:19 GMT-0400 (Eastern Daylight Time),4,"You had to read and understand the map legend and there was many similar states on the map. 
",16188,Tennessee,Tue Aug 30 2022 14:51:31 GMT-0400 (Eastern Daylight Time),35752,Oregon,Tue Aug 30 2022 14:52:09 GMT-0400 (Eastern Daylight Time),5,"It was hard to compare both maps 
",bivariate,It was easier to compare the to comparisons.,630e5b56-7587-83da-b2dc-131a49e54569
184643f8ddc890e6163617b81862605d8f573cf3085270c33887905f20950a28,Mozilla/5.0 (Windows NT 6.1; Win64; x64; rv:104.0) Gecko/20100101 Firefox/104.0,a,desktop,51,female,college,5,no,2194,West Virginia,5388,Nebraska,Tue Aug 30 2022 15:52:32 GMT-0400 (Eastern Daylight Time),18381,Nebraska,Tue Aug 30 2022 15:52:58 GMT-0400 (Eastern Daylight Time),1,It's not hard to see the color differences.,4796,Washington,Tue Aug 30 2022 15:53:34 GMT-0400 (Eastern Daylight Time),12570,Nebraska,Tue Aug 30 2022 15:53:51 GMT-0400 (Eastern Daylight Time),1,It's not hard to see the two different colors and pick them from a map.,univariate,It's easier to look at 2 different colors rather than a mixture of a BUNCH of different colors.,630e69ee-e083-5d61-4ca4-f45383e2b173
1b4098d22968ccd55b702f8f92a9461cf3bd2b6373ef3efd2d0b77e240633af1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",a,desktop,55,female,college,3,no,2346,West Virginia,7751,Nebraska,Tue Aug 30 2022 13:45:47 GMT-0400 (Eastern Daylight Time),1970,Nebraska,Tue Aug 30 2022 13:45:51 GMT-0400 (Eastern Daylight Time),1,not difficult,5900,Washington,Tue Aug 30 2022 13:46:13 GMT-0400 (Eastern Daylight Time),6933,Oregon,Tue Aug 30 2022 13:46:22 GMT-0400 (Eastern Daylight Time),3,its what i thought,univariate,easier to navigate,630e44c4-351b-d634-ff1a-bcbc1a74d20b
1bd4d3ad3dc04fad3e87dca23b7a6f992a7570d9d739a98ef61c29af8a5a16f0,"Mozilla/5.0 (X11; CrOS x86_64 12239.92.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.136 Safari/537.36",g,desktop,58,male,some_college,5,no,3365,West Virginia,8607,Washington,Tue Aug 30 2022 14:41:59 GMT-0500 (Central Daylight Time),11346,Nevada,Tue Aug 30 2022 14:42:17 GMT-0500 (Central Daylight Time),3,sometomes the colors are hard to distinguish,7459,Wyoming,Tue Aug 30 2022 14:42:53 GMT-0500 (Central Daylight Time),13975,Arizona,Tue Aug 30 2022 14:43:16 GMT-0500 (Central Daylight Time),3,the maps were not overlaid like before,bivariate,it was easier to find the states asked for wit hall of the data on the same map,630e678d-3e1d-2d73-f13b-2f31d1a5714f
1bfa7105f241a79f217f791a1784c43d01edce679f0a319e870914418a0c3a32,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Safari/605.1.15",g,desktop,47,male,some_college,4,no,12086,West Virginia,49900,Wyoming,Tue Aug 30 2022 10:55:19 GMT-0600 (MDT),12171,Nebraska,Tue Aug 30 2022 10:55:34 GMT-0600 (MDT),2,"Per the chart, gray indicated that",7335,Tennessee,Tue Aug 30 2022 10:56:07 GMT-0600 (MDT),25458,Georgia,Tue Aug 30 2022 10:56:42 GMT-0600 (MDT),1,Georgia showed high participation and low viewing,bivariate,The graph indicates what the colors mean,630e3fe5-6cf4-4391-3847-36610acdd10d
1d8ac4b28bae4ea8b1d9f1fbea0ef59c492fb8b59dd5dd96c59532ff1929ac80,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",e,desktop,38,female,college,3,no,9930,West Virginia,8663,Nebraska,Mon Aug 29 2022 15:02:19 GMT-0600 (Mountain Daylight Time),8225,Nebraska,Mon Aug 29 2022 15:02:30 GMT-0600 (Mountain Daylight Time),4,Its a lot harder because there is more colors,21991,Wyoming,Mon Aug 29 2022 15:03:14 GMT-0600 (Mountain Daylight Time),13200,Wyoming,Mon Aug 29 2022 15:03:29 GMT-0600 (Mountain Daylight Time),5,Its hard to really know,bivariate,multi colored helped I think,630d28ba-bb26-e5da-4cf1-b9530aa4e05e
1fef27a5bf68a4bec2379ddb89bdf10a18eacf14175e88639a3a083f9368dfcb,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.0.0 Safari/537.36",a,desktop,31,female,pre_high_school,3,no,2174,West Virginia,7257,Georgia,Tue Aug 30 2022 11:56:33 GMT-0500 (Central Daylight Time),4404,Georgia,Tue Aug 30 2022 11:56:41 GMT-0500 (Central Daylight Time),1,Look for the states that are the less colored in,6627,Tennessee,Tue Aug 30 2022 11:57:04 GMT-0500 (Central Daylight Time),5063,Tennessee,Tue Aug 30 2022 11:57:10 GMT-0500 (Central Daylight Time),1,It has the most color of the darkest shade,bivariate,Easier to look at 1 than 2,630e40d7-250e-df5b-7fbf-551e51581a79
202fd7da0267d2d0d6f931757d7caa442f8e52703456b947b7b6ec4f20f4616f,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/104.0.5112.102 Safari/537.36 Edg/104.0.1293.63",d,desktop,56,female,college,5,no,15048,West Virginia,15107,New York,Tue Aug 30 2022 13:27:38 GMT-0700 (Pacific Daylight Time),15752,Arizona,Tue Aug 30 2022 13:27:57 GMT-0700 (Pacific Daylight Time),2,it seems right,29516,Washington,Tue Aug 30 2022 13:28:45 GMT-0700 (Pacific Daylight Time),31877,Washington,Tue Aug 30 2022 13:29:20 GMT-0700 (Pacific Daylight Time),2,it seems right,bivariate,it seems more correct,630e71e2-5f76-71c8-3323-2fc2707f1347
21205c612000ecb335d6c925d3e0cda1e512efce1220c69a8eb262d058909863,"Mozilla/5.0 (X11; CrOS x86_64 14816.131.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/103.0.0.0 Safari/537.36",b,desktop,30,female,some_college,3,no,1860,West Virginia,15396,California,Tue Aug 30 2022 10:19:24 GMT-0700 (Pacific Daylight Time),22202,Nevada,Tue Aug 30 2022 10:19:50 GMT-0700 (Pacific Daylight Time),3,It was sort of easy because you just checked which areas had the most light colors,11782,Washington,Tue Aug 30 2022 10:21:30 GMT-0700 (Pacific Daylight Time),7299,Washington,Tue Aug 30 2022 10:21:40 GMT-0700 (Pacific Daylight Time),1,I'm not sure that I chose the right one.,univariate,I like that it is easier to compare both by separating them.,630e45fb-e782-288e-5512-f6e979ff9b01
